"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase", "I1(A)", "I2(A)", "I3(A)"
4212, "Transformer.TR45", 20.371621366755, 27.7794836819387, 233.749912694296, 171.416602642484, 7.19955785679463, 47.6186471592025, 47.6186471589515, 47.6186471586057 
4213, "Transformer.TR45", 20.371621366755, 27.7794836819387, 234.087612444856, 171.664249126227, 7.19955785679463, 47.6874420737429, 47.6874420734881, 47.6874420731439 
4214, "Transformer.TR45", 20.371621366755, 27.7794836819387, 226.150763541533, 165.843893263791, 7.19955785679463, 46.0705772667065, 46.0705772664775, 46.0705772661508 
4215, "Transformer.TR45", 20.371621366755, 27.7794836819387, 197.884056408721, 145.114974699729, 7.19955785679463, 40.3121907167607, 40.3121907165855, 40.312190716328 
4216, "Transformer.TR45", 20.371621366755, 27.7794836819387, 182.794194007907, 134.049075605799, 7.19955785679463, 37.2381410837025, 37.2381410835549, 37.2381410833321 
4217, "Transformer.TR45", 20.371621366755, 27.7794836819387, 136.674330424189, 100.227842311072, 7.19955785679463, 27.8427770995634, 27.8427770994826, 27.8427770993568 
4232, "Line.L9", 310, 600, 109.382752482188, 56.5144221157973, 7.19955785679463, 339.086532693869, 339.086532694784, 339.086532692681 
4233, "Line.L9", 310, 600, 115.146208190148, 59.4922075649098, 7.19955785679463, 356.953245388455, 356.953245389459, 356.953245387454 
4233, "Transformer.TR45", 20.371621366755, 27.7794836819387, 106.644031138534, 78.2056228349251, 7.19955785679463, 21.7251182337865, 21.7251182337339, 21.7251182336564 
4234, "Line.L9", 310, 600, 117.997732270534, 60.9654950064425, 7.19955785679463, 365.792970037543, 365.792970038655, 365.792970036707 
4234, "Transformer.TR45", 20.371621366755, 27.7794836819387, 140.066285563351, 102.715276079791, 7.19955785679463, 28.5337733574437, 28.5337733573539, 28.5337733572203 
4235, "Line.L9", 310, 600, 119.131318234917, 61.5511810880406, 7.19955785679463, 369.307086527128, 369.307086528243, 369.307086526514 
4235, "Transformer.TR45", 20.371621366755, 27.7794836819387, 181.66686494722, 133.222367627962, 7.19955785679463, 37.008485875902, 37.0084858757487, 37.0084858755264 
4236, "Line.L9", 310, 600, 111.627781123442, 57.6743535804452, 7.19955785679463, 346.046121481628, 346.046121482672, 346.046121480949 
4236, "Transformer.TR45", 20.371621366755, 27.7794836819387, 187.521318877809, 137.515633843726, 7.19955785679463, 38.2011330637325, 38.20113306357, 38.2011330633344 
4237, "Line.L9", 310, 600, 122.587060707633, 63.3366480322772, 7.19955785679463, 380.019888192485, 380.019888193663, 380.019888192121 
4237, "Transformer.TR45", 20.371621366755, 27.7794836819387, 208.68032685644, 153.032239694723, 7.19955785679463, 42.5115660541008, 42.5115660538957, 42.5115660536053 
4238, "Line.L9", 310, 600, 126.69664392148, 65.4599326927646, 7.19955785679463, 392.759596155385, 392.759596156587, 392.759596154929 
4238, "Transformer.TR45", 20.371621366755, 27.7794836819387, 188.499419323491, 138.232907503894, 7.19955785679463, 38.4003879831136, 38.4003879829487, 38.4003879827096 
4239, "Line.L9", 310, 600, 129.906275108437, 67.1182421393591, 7.19955785679463, 402.70945283482, 402.709452836154, 402.709452834434 
4239, "Transformer.TR45", 20.371621366755, 27.7794836819387, 168.744989276008, 123.746325469073, 7.19955785679463, 34.3760902906798, 34.376090290549, 34.3760902903559 
4240, "Line.L9", 310, 600, 133.492369644104, 68.9710576494535, 7.19955785679463, 413.826345895442, 413.826345896721, 413.826345894863 
4240, "Transformer.TR45", 20.371621366755, 27.7794836819387, 138.658215153435, 101.682691112519, 7.19955785679463, 28.2469265849584, 28.2469265848707, 28.2469265847398 
4241, "Line.L9", 310, 600, 120.99059623846, 62.5118080565378, 7.19955785679463, 375.070848338115, 375.070848339227, 375.070848337353 
4241, "Transformer.TR45", 20.371621366755, 27.7794836819387, 119.19436460578, 87.4092007109051, 7.19955785679463, 24.2818246479989, 24.2818246479342, 24.2818246478378 
4242, "Line.L9", 310, 600, 105.978318236028, 54.7554644219476, 7.19955785679463, 328.532786530855, 328.532786531686, 328.532786529631 
4243, "Line.L9", 310, 600, 107.36712680205, 55.4730155143925, 7.19955785679463, 332.838093085496, 332.838093086355, 332.838093084232 
4244, "Line.L9", 310, 600, 102.041109602223, 52.7212399611484, 7.19955785679463, 316.327439766156, 316.32743976689, 316.327439764711 
4245, "Line.L9", 310, 600, 101.416073433509, 52.3983046073132, 7.19955785679463, 314.389827643134, 314.389827643879, 314.389827641719 
4256, "Line.L9", 310, 600, 122.526246320049, 63.3052272653587, 7.19955785679463, 379.831363591027, 379.831363592152, 379.831363590041 
4257, "Line.L9", 310, 600, 127.659873917568, 65.9576015240767, 7.19955785679463, 395.745609143204, 395.74560914446, 395.745609142452 
4258, "Line.L9", 310, 600, 129.429742604036, 66.8720336787521, 7.19955785679463, 401.232202071222, 401.232202072513, 401.232202070557 
4258, "Transformer.TR45", 20.371621366755, 27.7794836819387, 143.667233128026, 105.355970960553, 7.19955785679463, 29.2673447609347, 29.267344760839, 29.2673447606981 
4259, "Line.L9", 310, 600, 131.172283203611, 67.7723463218658, 7.19955785679463, 406.634077929881, 406.634077931195, 406.63407792956 
4259, "Transformer.TR45", 20.371621366755, 27.7794836819387, 186.902282787628, 137.061674044261, 7.19955785679463, 38.0750253753174, 38.0750253751533, 38.075025374918 
4260, "Line.L9", 310, 600, 123.093236891971, 63.5981723941852, 7.19955785679463, 381.589034363863, 381.589034365112, 381.589034363446 
4260, "Transformer.TR45", 20.371621366755, 27.7794836819387, 196.708305784405, 144.25275757523, 7.19955785679463, 40.0726712513576, 40.0726712511764, 40.0726712509173 
4261, "Line.L9", 310, 600, 136.803859314295, 70.6819939790525, 7.19955785679463, 424.091963872844, 424.091963874315, 424.091963872694 
4261, "Transformer.TR45", 20.371621366755, 27.7794836819387, 199.339388809907, 146.182218460598, 7.19955785679463, 40.6086655231579, 40.608665522971, 40.6086655227037 
4262, "Line.L9", 310, 600, 139.844412074434, 72.2529462384575, 7.19955785679463, 433.517677429251, 433.517677430745, 433.517677429053 
4262, "Transformer.TR45", 20.371621366755, 27.7794836819387, 176.043425670454, 129.098512158333, 7.19955785679463, 35.8629001186498, 35.8629001185059, 35.8629001182958 
